Nome;Stand;País;Produtos;Site;Redes sociais;Atividade principal;Atividade secundária;Endereço
Langeberg Foods (Pty)Ltd;Hall 5A - G126;South Africa;;;;Grocery products;;Cnr Jones & Kohler Streets, Southern Paarl, 7645, Western Cape
SALUMIFICI GRANTERRE SPA;Hall 7 - D256;Italy;;;;Cured and Salted meat;Cured and salted meat;STRADA GHERBELLA - 320, MODENA, 41126, ITALY
ALTYMA;;Senegal;;https://www.altyma-agroalimentaire.com/;Facebook (https://www.facebook.com/share/1CxksdPtFa/), Instagram (https://altyma.agro/), TikTok (https://www.tiktok.com/@lepanierlocalaltyma?_r=1&_t=ZS-992s5R8Pytw), YouTube (https://youtube.com/@altyma-agro?si=OUsOLbrQb623_ifJ), Pinterest (https://www.altyma-agroalimentaire.com/);Grocery products;;65, cité AL Amal Patte d'Oie Dakar, 136, cite LSS Dakar, Dakar, 11 500 , Soprime
RDR IMPEX PVT. LTD.;Hall 3 - B205;India;;https://www.rdrindia.com/;LinkedIn (https://www.linkedin.com/feed/), Facebook (https://www.facebook.com/RDRIMPEX), Instagram (https://www.instagram.com/rdr_impex/?hl=en);Grocery products;;573, EPDP CGHS LTD.,PLOT NO.19,, SECTOR-4, DWARKA,, NEW DELHI, 110078
SIMANDIRAKIS P KIA SIA EE;;Greece;;;;Confectionery, biscuits and pastry;;KERA KISSAMOU, CHANIA, 73400
Mafube Fresh (Pty) Ltd;Hall 5A - G126;South Africa;Natural Fruit Powders (https://nalafoodpowders.com/);;;Grocery products;Fruits and vegetables, Healthy foods and diet products, Semi-finished food products and ingredients, Confectionery, biscuits and pastry;Regus Business Center, 1st floor Willowbridge, Carl Cronje Drive, Cape Town, 7561, Western Cape
Novita Impex SRL;;Romania;;;;Grocery products;;Str. Gheorghe Baritiu nr.176 Satu Mare, Satu Mare, 440135
BONTA' LUCANE SRL;;Italy;;;;Grocery products;;VIA I MAGGIO 26, MATERA, 75100
GREEN DESERT LLC;;Uzbekistan;;;;Fruits and vegetables;;Samarkand region, Payarik District, Samarkand region, 135010, Uzbekistan
TSOUDEROS LTD.;;Greece;"Extra Virgin Olive Oil ""LADI"" (https://www.laditsouderos.gr/en/extra-virgin-olive-oil/), Organic Extra Virgin Olive Oil ""LADI"", ORGANIC EARLY HARVEST PREMIUM Extra Virgin Olive Oil , P.D.O. SITIA CRETE Extra Virgin Olive Oil ""LADI"" (https://www.laditsouderos.gr/en/pdo-sitia-extra-virgin-olive-oil/), Infused Olive Oil ""LADI"" chili / garlic / oregano, Infused Olive Oil ""LADI""  basil / lemon / truffle, Extra Virgin Olive Oil ""03"" (https://www.laditsouderos.gr/en/extra-virgin-olive-oil/), ""DROPS OF TREASURE"" Extra Virgin Olive Oil (https://www.laditsouderos.gr/en/extra-virgin-olive-oil/)";https://www.laditsouderos.gr/;Facebook (https://www.facebook.com/laditsouderos.gr/?locale=el_GR);Grocery products;Delicatessen, Ready to Eat, Healthy foods and diet products;ASOMATOS, AG. VASILIOS, RETHYMNO, 74060, CRETE
Naledo;;Belize;;;;Semi-finished food products and ingredients;;Pedro Guerra Mena Street, Benque Viejo, Beluze, 56550
HENSALL DISTRICT CO-OPERATIVE, INC.;Hall 8 - H041;Canada;;;;Fruits and vegetables;;1 Davidson Drive, Hensall, N0M 1X0, Ontario
ORGANIC INITIATIVE Public Association;;Ukraine;;;;Organizations, federations, institutions;;12 Illenka Street, Kyiv, 04050
NEOGAL S.A.;Hall 7 - A033;Greece;;;;Dairy products, eggs;;End of 1st July Str., DRAMA, 66100, DRAMA
CTA;Hall 8 - P022;Argentina;;;;Grocery products;;Italia, RP6 84 km 63, Hernando, 5929
Asahikawa Rice Export Council;Hall 4 - P163;Japan;;;;Fruits and vegetables;;4-3,636-265 Higashitakasu, Asahikawa, 071-8104, Hokkaido
Bilken Tarim Gida San. Tic. Ltd. Sti.;Hall 6 - HJ108;Türkiye;FRESH TABLE EGG;https://www.bilken.com.tr/;;Dairy products, eggs;;Bagbasi Mah. Su Yolu Kume Evler Sok., Sehitkamil, Gaziantep, 27060
Iposea srl;;Italy;;;;Grocery products;;SS 545 Rivolese km 3,4 Zona Ind.le, Cerignola, 71042
Zhangzhou Tewan Trading CO., LTD.;Hall 5B - K219;People's Republic of China;;;;Confectionery, biscuits and pastry;;Room 401, Building 20, Mingfa Commercial Plaza, Zhangzhou City, 363005, Longwen District
ASIAN UNION EXPORTING CO.,LTD.;;Thailand;;;;Seafood products;;44/14-15, SUKHUMVIT SOI 46, SUKHUMVIT ROAD, PHRA KHANONG,, KLONG TOEI, Bangkok, 10110
Tequerys, Lda.;Hall 2 - L069;Portugal;;;;Confectionery, biscuits and pastry;;R. Padre Manuel Carlos da Silva 29, Funchal, 9325-337, Madeira
Harimella Olive Oil Company;Hall 3 - C078;Tunisia;;;;Grocery products;;TUNIS, tunis, 1080
PUNTO DE VENTA Y PROMOCIÓN PLV;Hall 7 - G446;Spain;;;;Equipment, Technologies and Services;;Partida industrial Algars Pau Casals 2, Cocentaina, 03820
ZHUCHENG DELICATE IMPORT AND EXPORT;Hall 6 - AA090;People's Republic of China;;;;Frozen products;;NO.5,NORTH OF DONGPO STREET,, ZHUCHENG CITY, WEIFANG, 262200, SHANDONG
Khayelitsha Cookies (Pty) Ltd;Hall 5A - G126;South Africa;;;;Grocery products;;52 Beaconway, Beaconvale, Cape Town, 7441, Western Cape
"LLC ""VIESBA GLOBAL FOOD""";;Uzbekistan;;;;Fruits and vegetables;;Namangan region, Chust district, Chust city, Namangan, 150200, Uzbekistan
"""RED PACK"" LLC";;Uzbekistan;;;;Fruits and vegetables;;Sirdarya region, Mirzaabad district, Sirdarya, 107050, Uzbekistan
Aura Food Co., Ltd.;;Thailand;;;;Grocery products;;295 Moo 7, Talat, Mueang, Nakhon Ratchasima, 30310
LGD;Hall 5A - T024;France;;;;Semi-finished food products and ingredients;;3 rue du Petit Albi, Cergy, 95800
SHAH TRADING COMPANY;Hall 8 - H046;Canada;;;;Grocery products;;3451 McNicoll Avenue, Scarborough, M1V 2V3, Ontario
Food Specialize Co., Ltd.;;Thailand;;;;Grocery products;;790 Moo 2 Bangpoo Industrial Estate, Bang Pu Mai, Mueang Samut Prakan, Samut Prakan, 10280
HEILONGJIANG DELANGFU FOOD DEVELOPMENT;;People's Republic of China;;;;Healthy foods and diet products;;No.1034, Junmin Road, Tiedong Street,, Nenjiang City, Heihe City,, Heilongjian, Nenjiang, 161400
Kokopon (Cambodia) Co., Ltd.;;Cambodia;Mango Smiles (https://www.somique.com/en/products/mango-usmevy-9), Dragon Royals (https://www.somique.com/en/products/draci-rolky-10), Mango Smiles with Kampot Red Pepper, Cashew Giants (https://www.somique.com/en/products/kralovske-kesu-11);https://kokopon.com/;Facebook (https://www.facebook.com/kokopondotcom);Delicatessen, Ready to Eat;Healthy foods and diet products, Grocery products;#87, Aura building, 3rd Floor, St. 63, Phnom Penh, 12211
Ciemme Gnocchi;;Italy;;;;Grocery products;;via Foggia, 28, Barletta, 73121
VITALYV;;Italy;;;;Non-alcoholic beverages;;Via dei Mille 13, BERGAMO, 24036, .
New Concept Product Co.,Ltd.;;Thailand;;https://www.ncp.co.th/;Facebook (https://www.facebook.com/fitneworld?locale=th_TH);Non-alcoholic beverages;;156 Soi Ladprao 107, Ladprao Rd., Klong Chan, Bangkapi, Bangkok, 10240
APPLE FOOD INDUSTRIES;;India;;;;Grocery products;;SURVEY NO.261, PAIKEE 1,, GIR GADHADA ROAD, UNA, 362560, GUJARAT
A.R. TARTUFI;;Italy;TRFUFFLE SQUEEZY LINE, TRUFFLE SAUCE 5% (https://www.valnerinatartufi.net/en/prodotto/salsa-tartufata-5/), SPICY TRUFFLE SAUCE SQUEEZY, TRUFFLE BUTTER, TRUFFLE FLAVORED OIL (https://www.valnerinatartufi.net/en/prodotto/olio-al-tartufo-bianco/);https://www.valnerinatartufi.com/;LinkedIn (https://www.linkedin.com/company/artartufisrl/), Facebook (https://www.facebook.com/valnerina.tartufisrl), Instagram (https://www.instagram.com/valnerinatartufiofficial/);Delicatessen, Ready to Eat;;FRAZ. PALOMBARE 5, LOC. ACQUASOLFUREA, ARRONE, 05031
Yan Wal Yun Corporation Group Co.,Ltd.;;Thailand;Thin Soy Sauce (https://shop.deksomboon.com/en/product/1092664/%E0%B8%8B%E0%B8%B5%E0%B8%AD%E0%B8%B4%E0%B9%8A%E0%B8%A7%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A31-600ml-soysauce), Black Soy Sauce (https://shop.deksomboon.com/en/product/1092697/%E0%B8%8B%E0%B8%B5%E0%B8%AD%E0%B8%B4%E0%B9%8A%E0%B8%A7%E0%B8%94%E0%B8%B3-%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A31-970g-darksoysauce?page=2&category_id=141712);https://deksomboon.com/;LinkedIn (https://www.linkedin.com/company/yan-wal-yun-corporation-group-deksomboon-healthy-boy), Facebook (https://www.facebook.com/HealthyboyOfficial/), TikTok (https://www.tiktok.com/@deksomboon_official1);Grocery products;;767 Wat Pai Ngoen Rd., Tung Wat Don, Sathorn, Bangkok, 10120
CULTERRA OLIVE OIL;;Greece;;;;Grocery products;;151 IRODOTOU STR, HERAKLION CRETE, 71601, CRETE
Aceites Clemen, S.L.;;Spain;CLEMENBEER, CLEMEN MORISCA, CLEMENCHOC, CLEMEN OLIVES, CLEMEN ECO, CLEMEN DELUXE, CLEMEN SELECTION, CLEMEN MANZANILLA, CLEMEN ARBEQUINA, CLEMEN PLATINUM;https://aceitesclemen.com/;LinkedIn (https://www.linkedin.com/company/9302498/admin/page-posts/published/), Facebook (https://www.facebook.com/AceitesClemen?locale=es_ES), Instagram (https://www.instagram.com/aceitesclemen/), Twitter/X (https://x.com/AceitesClemen), YouTube (https://www.youtube.com/@aceitesclemen7492);Grocery products;Other alcoholic beverages, Confectionery, biscuits and pastry;San Antonio, 9, Puebla de Sancho Pérez (Badajoz), 06310
SHANXI ZHENHE WEIYE TECHNOLOGY CO LTD;;People's Republic of China;Organic asparagus powder;;;Fruits and vegetables;Healthy foods and diet products;Xiaodian District, Xuefu Street No. 23, Xuefuyiyuan Building A, Room 801, Taiyuan, 030000, Shanxi
LLC “BAKERY FOOD INVESTMENT”;Hall 1 - A202;Ukraine;"Pizza ""Four Cheese"" ,  Ice, 1 kg, Ice Dose , ""Pontino"" Four-Cheese Pizza, Sausage with mayonnaise and ketchup  Loven,  Croissant, 90g, ""Pontino"" Pizza with Chicken and Mushrooms, Ice in a cup, 150 g, Ice Dose , Croissant with chocolate filling, 105g, Corn with butter and mozzarella cheese, 160 g Kukurumba (https://www.instagram.com/kukurumba_ua), Tube Apple and Cinnamon Loven , Croissant with cherry filling, 105g,  Pizza with sausage and corn, Maple Syrup Braided Pastry Loven , Khachapuri with Sulguni Loven , Cheese balls ""BOU DE QUEJO"" Loven, Pizza with turkey ham and sweet peppers,  Pizza with chicken and olive, Corn with butter, 160 g Kukurumba (https://www.instagram.com/kukurumba_ua), Chocolate Cinnabon, Cinnabon with pistachio filling, Cinnabon with blackcurrant and Parmesan,  Cherry Cinnabon,  Apricot Cinnabon, Classic Cinnabon, Cinnabon with coconut filling";https://bfi.ua/;Facebook (https://www.facebook.com/Bakery.Food.Investment/), Instagram (https://www.instagram.com/bakery_food_investment/);Frozen products;;Sobornosti St., 125, Kozelets District, 17000
Zakłady Mięsne ŁUKÓW Sp. z o.o.;Hall 6 - A124;Poland;;https://www.zmlukow.pl/;LinkedIn (https://pl.linkedin.com/company/zmlukow), Facebook (https://pl-pl.facebook.com/ZMLukow), Instagram (https://www.instagram.com/zm.lukow/), TikTok (http://tiktok.com/@zmlukow);Meat and tripe;;Przemysłowa 15, Łuków, 21-400
CIAJ;;Mexico;;;;Organizations, federations, institutions;;Avenida Faro #2350, Edificio MIND, Oficina H, Piso 8, Colonia Verde Valle, Guadalajara, 44550, Jalisco
Shaanxi Qianfu Food Co., Ltd.;Hall 4A - D044;People's Republic of China;;;;Grocery products;;Room2703,Unit1, Building12, Wutongyuan, Xinmaoren South Road, Xi'an Qujiang, New District, Xi’an, Shaanxi, China, Xi'an, 710000
CASA DE VINURI COTNARI SA;Hall 4 - L089;Romania;;;;Wines & spirits;;STR. VLADOIANU NR.1, CARJOAIA, 707120, IASI
ATAYA TRADING AND INDUSTRIAL CO;Hall 1 - G136;Oman;;;;Grocery products;;Muscat - Rusayl Industrial City, Muscat, 120
BAXTER CHOCOLATE;;Poland;;;;Confectionery, biscuits and pastry;;Rynek 21, Szydłów, 28-225
COOKIE CREATIONS;Hall 5A - T038;France;Cocoa cookie triple chocolate, Milk chocolate chunk cookie;https://colorado-cookie.com/;LinkedIn (https://fr.linkedin.com/company/colorado-cookies-creation-sas), Instagram (https://www.instagram.com/cookiecreationsofficiel/);Confectionery, biscuits and pastry;;4 Rue Henri Becquerel, EAE de la Tuilerie, Chelles, 77500
Sakr Group for Food Industries;;Egypt;;;;Grocery products;;23 Ibn Maged street, Sidi Gaber, Alexa, Alexandria, 21523, Sharq District
Triselecta Saffron;Hall 2 - N164;Spain;;;;Delicatessen, Ready to Eat;;MANUEL FRANCO CUBEIRO, 35,, TORREMOLINOS, 29620
Huangshan Wangguangxi Tea Co.,Ltd.;Hall 5C - H152;People's Republic of China;;;;Non-alcoholic beverages;;Longyue Rd,XiuNing County,Huangshan, Huangshan, 245400
APAR GLOBAL VENTURES;;India;;;;Grocery products;;8TH FLOOR, UNIT 818, ATRIUM 215,, C-WING, ANDHERI KURLA ROAD, CHAKALA, ANDHERI EAST,, MUMBAI, 400093, MAHARASHTRA
FERMA CU OMENIE;Hall 4 - L089;Romania;;https://fermacuomenie.ro/;LinkedIn (https://www.linkedin.com/company/de-la-ferma/posts/?feedView=all), Facebook (https://www.facebook.com/FermaCuOmenie/), Instagram (https://www.instagram.com/fermacuomenie/), TikTok (https://www.tiktok.com/@fermacuomenie), YouTube (https://www.youtube.com/@fermacuomenie);Dairy products, eggs;;Str. Traian nr. 173A, UNIREA, 517785, ALBA
Deluxe for Investments;;Egypt;;;;Frozen products;;23st. Elmina El sharqia, Raml station , alexandria, 21519, Alexandria
Niice Foods (Pty) Ltd;Hall 5A - G126;South Africa;Niice Foods Cold Pressed Macadamia Cooking Oil (https://www.niicefoods.com/shop), Niice Foods Macadamia Nut Butter Spread / Paste (https://www.niicefoods.com/macadamia-nut-butter), Niice Foods Mac-Sprinkle Seasoning (https://www.niicefoods.com/product-page/copy-of-mac-sprinkle-85g-new-format), Niice Foods Macadamia Snack Nuts (https://www.niicefoods.com/);https://www.niicefoods.com/;LinkedIn (https://www.linkedin.com/niicefoods), Facebook (https://www.facebook.com/niicefoods), Instagram (https://www.instagram.com/niicefoods);Grocery products;Healthy foods and diet products;Portion 29, Farm Alkmaar, Mbombela, Nelspruit, 1200, Mpumalanga
Cooperativa Yerbatera Andresito Ltda;;Argentina;;;;Grocery products;;Zona Industrial - Ruta Provincial 25, Comandante Andresito, 3385
HWANGSOOYUN TRADITIONAL FOOD;Hall 4 - N223;South Korea;;;;Grocery products;;75, Godo-gil, Geumma-myeon, IKSAN-SI, 54572, JEONBUK-DO
L’AMOURÉ;;France;ROYAL WILD BERRIES (https://gsteas.lk/), INSPIRED CAPRICE (https://gsteas.lk/), SILK DREAMS (https://gsteas.lk/), ICY FRESH (https://gsteas.lk/), RUBY TEARS (https://gsteas.lk/), REALIZED MIRAGE (https://gsteas.lk/), CHAMPAGNE NOTES (https://gsteas.lk/), SELECTION OF 12 TEAS (https://gsteas.lk/), 1001 MAGIC NIGHTS EN PYRAMIDES (https://gsteas.lk/), 1001 MAGIC NIGHTS (https://gsteas.lk/), SELECTION OF 9 TEAS (https://gsteas.lk/);https://boutique-lamoure.fr/;;Non-alcoholic beverages;Grocery products;6 rue d'Armaillé, PARIS, 75017, .
HUNAN XUHONGDA LOCAL PRODUCT LTD., CO.;Hall 8 - G061;People's Republic of China;;;;Fruits and vegetables;;Group 5, Xicheng Community, Dazhigang, Changde, 415600, Hunan
BRESCA DORADA S.R.L.;;Italy;;;;Other alcoholic beverages;;LOC,CANN'E FRAU, MURAVERA, 09043
Société Bretonne de Volaille SAS;Hall 6 - K083;France;;;;Poultry and game;;ZI du Lay, ZI du Lay, Saint-Jean-Brevelay, 56660
FACUNDO BLANCO;Hall 2 - J090;Spain;sunflower seeds,     BBQ-flavored nut mix, Clásico Nut Mix, Crips, Chaskis looop, Chaskis Extruded and fried corn, extruded and fried corn bbq flavor, Unsalted Nut Mix,     Asian-flavored nut mix, Sunflower seeds With salt, sunflower seeds, Sunflowers seeds without salt;https://www.facundo.es/;Instagram (https://www.instagram.com/mundo_facundo?igsi=dDFxOGtzZWcybnJj), TikTok (https://www.tiktok.com/@mundo_facundo?_r=1&_t=ZG-9994EklzDwO);Grocery products;;CARRETERA DE BECILLA, KM 1, VILLADA, 34340, CASTILLA Y LEÓN
CANFARM PULSE INC;Hall 8 - H043;Canada;;http://www.canfarmpulse.com/;;Horticulture;;146 Sherburn Street, Winnipeg, R3G 2K4, Manitoba
CAMIL ALIMENTOS S/A;;Brazil;;;;Grocery products;;RODOVIA BR 116, KM 388 S/N, CAMAQUÃ, 96180-000, RIO GRANDE DO SUL
Sovarog LLC;Hall 1 - A216;Ukraine;;;;Delicatessen, Ready to Eat;;39a Lisovyi av., office 15, Kyiv, 02166
ALWEFAG FOR TRADING AND MANUFACTURING LTD;Hall 5B - K048;Saudi Arabia;;;;Confectionery, biscuits and pastry;;Amman st, Boughdadia,, Baghdadiyah Gharbiyah District, Kingdom of Saudi Arabia, JEDDAH, 20772, .
Aghati For Sweets & Ice Cream Co. Ltd.;;Jordan;;;;Confectionery, biscuits and pastry;;17480 Amman, Amman, 11195, Jordan
RISO INVERNIZZI;;Italy;;;;Grocery products;;VIA VALSESIA, 73, NOVARA, 28100, PIEMONTE
The Polar Berry Company (Pty) Ltd;Hall 5A - G126;South Africa;;;;Frozen products;;11 Wally Hayward Drive, Ashburton, 3213, KwaZulu Natal
VOTOMOS SA;;Greece;;;;Non-alcoholic beverages;;ZAROS,CRETE, CRETE, 70002
IFF INDIA FROZEN FOODS PVT LTD;Hall 3 - A249;India;;;;Meat and tripe;;VILLAGE BEGUMPUR, CHIMIYWALI, MORADABAD ROAD, DISTT SAMBHAL, SAMBHAL, 244302, UTTAR PRADESH
"PJSC ""Dnipro Food Concentrates Plant""";;Ukraine;;;;Grocery products;;1 Zymovykh Pokhodiv Street, Dnipro, 49022
Shaanxi Forward Fruit and Vegetable Co;Hall 6A - P026;People's Republic of China;;;;Non-alcoholic beverages;;No.50, 6th Floor, Building B,1st Floor, No.99 Gangwu Avenue,International Port, Xi'an City, Shaanxi Province, China, XI'AN, 710026, SHAANXI
ZAKLADY MIESNE SKIBA S.A.;;Poland;;;;Meat and tripe;;UL. DERDOWSKIEGO 23, CHOJNICE, 89-600
Bullmark Alimentos Naturales;Hall 8 - P025;Argentina;Soybean Cakes / Expeller (Non GMO) (https://www.bullmark.com.ar/pdf/ingles/folleto-queenbean-exp-ingles.pdf), Black Soybeans (Non GMO) (https://bullmark.com.ar/pdf/ingles/folleto-queenbean-ingles.pdf), Popcorn (https://www.bullmark.com.ar/en/non-gmo-foods), Yellow Soybeans (Non GMO) (https://bullmark.com.ar/pdf/ingles/folleto-queenbean-ingles.pdf);https://www.bullmark.com.ar/;;Grocery products;Semi-finished food products and ingredients;Ruta Nacional 188, Km 160, Junín, 6000, Buenos Aires
Breackfast Food Production SRL;Hall 4 - L089;Romania;;;;Delicatessen, Ready to Eat;;Str Principala 21, Herasti, 087126, Giurgiu
Bonfes Gida San. ve Tic. A.S;Hall 6 - C231;Türkiye;;https://bonfes.com.tr/;LinkedIn (https://www.linkedin.com/company/bonfes-g%C4%B1da/), Facebook (https://www.facebook.com/profile.php?id=61578437134785), Instagram (https://www.instagram.com/bonfesgida/);Poultry and game;;Antalya Org. San. Bolgesi, 1. Kisim Mah. Akdeniz Bulv., No:2 Dosemealti, Antalya, 07190, Döşemealtı
Food Park Kowal Sp. z o.o.;;Poland;;;;Frozen products;;Dziardonice 14A, Dziardonice, 87-820
Spa tazej développement agricole;;Algeria;;;;Non-alcoholic beverages;;Algérie, Bouty sayeh Messila, 28200, Messila
SUNNY KING COMMERCIAL LIMITED;;Hong Kong People's Republic of China;;;;Wines & spirits;;16/F HO KING, COMMERCIAL CENTER, NO.2-16 FAYUEN STREET,MONGKOK, KOWLOON, ., .
SERVICIOS DESHIDRATADOS ZAGOS SAS;;Colombia;;;;Semi-finished food products and ingredients;;PARQUE INDUSTRIAL PALMASECA BODEGA 1C, Palmira, 763537, Valle del Cauca
Tropical Cubes Co.Ltd;Hall 5A - G158;Mauritius;;;;Semi-finished food products and ingredients;;Royal Road, Morcellement St André, Morcellement St André, 20903
Floor Foods BV;Hall 7 - L394;Netherlands;;;;Grocery products;;Handelsweg 10, Kapelle, 4421SJ
Steinemann Holding GmbH& Co. KG;Hall 6 - JK067;Germany;;;;Meat and tripe;;Hankomper Weg 7, Steinfeldl, 49439
"PW ""ESKA"" Stanisław Kozyra Sp.k.";;Poland;;;;Grocery products;;Nowa Osada 50, Godziszów, Godziszów, 23-302, Lubelskie
P.K. Drinks (Thailand) Ltd., Part;;Thailand;;;;Non-alcoholic beverages;;188 Soi Kanjanapisek 0010, Pralinluk Village , Bangkae, Bangkok, 10160
Keskinoglu Tavukculuk San. Tic. A.S.;Hall 6 - J110;Türkiye;;https://www.keskinoglu.com.tr/;LinkedIn (https://www.linkedin.com/company/keskino-lu/), Facebook (https://www.facebook.com/keskinoglu.com.tr), Instagram (https://www.instagram.com/keskinoglu_as/), Twitter/X (https://x.com/keskinoglu_as), TikTok (https://www.tiktok.com/@keskinoglu_tr), YouTube (https://www.youtube.com/@keskinoglu_tr);Poultry and game;;Panayir Mah. 602. Sok., Is Merkezi Sit. Matli Plaza No:14, Ic Kapi No:5 Osmangazi, Bursa, 16250
XIANGYANG JUNSHENGYUAN ECOLOGICAL FOOD;Hall 6A - K113;People's Republic of China;DRIED EDIBLE FUNGUS,CHINESE SOUP BASE AND OTHER DRIED GOODS, White-Black Fungus Slice, White Fungus, Morel and Chinese Yam Soup, Lotus seed;;;Healthy foods and diet products;;NO.3 WORKSHOP OF CHUAN QI, INDUSTRIAL PARK, YICHENG, 441400, HUBEI
SITA - SOCIETE IVOIRIENNE DE TRAITEMENT D'ANACARDE;Hall 5A - E139;Cote d'Ivoire;;https://sita-sa.com/;;Grocery products;;06 BP 2245 Abidjan 06, ABIDJAN, ., .
Shandong Hitop Foodstuff Co., Ltd.;Hall 5B - K199;People's Republic of China;Sultana raisins , Black raisins , Flame raisins , Green raisins ;http://hitopfood.com/;Instagram (https://www.instagram.com/sultana_raisins/);Grocery products;;EAST OF GONGYE 6TH ROAD,, SOUTH OF BEI 2ND ROAD, JUNAN COUNTY, Linyi City, 276600, Shandong Province
NAMASTEY JEE BASMATI RICE LLP;;India;;;;Grocery products;;KHASRA NO 16/2, KHEWAT NO 229,, GT ROAD, VILL KAMBOPURA,, NEAR RADHASWAMI SATSANG, KARNAL, 132001, HARYANA
VEGI FARM;;Egypt;strawberry, Broccoli, Cauliflower, Peas, Okra, Green Beans;https://www.vegifarmeg.com/;LinkedIn (https://www.linkedin.com/company/vegifarm/posts/);Frozen products;;New Salehia city, Sharkia Egypt, Sharkia, 44813
Seskel Enterprises Ltd;;Mauritius;Salted Snoek;;;Seafood products;;St Michel Road, Riche Terre, Riche Terre, 21416
SHRI HARI INDUSTRIES;;India;;;;Grocery products;;F-103, BICHWAL INDUSTRIAL AREA,, BIKANER, 334001, RAJASTHAN
ECLOR ENTREPRISES;Hall 5A - P034;France;Ecusson Pear Cidre  (https://www.cidre-ecusson.com/nos-produits/), Loïc Raison Sweet (https://www.loicraison.fr/product/cidre-doux/), Ecusson 0.0% Cidre  (https://www.cidre-ecusson.com/nos-produits/), Loïc Raison Traditional  (https://www.loicraison.fr/product/cidre-traditionnel/), Ecusson Sweet Cidre  (https://www.cidre-ecusson.com/nos-produits/), Loïc Raison Dégustation Cidre  (https://www.loicraison.fr/product/cidre-de-degustation/), Loïc Raison Dry  (https://www.loicraison.fr/product/cidre-brut/), Loïc Raison Hops Cidre  (https://www.loicraison.fr/product/cidre-houblons/), Ecusson Dry Cidre  (https://www.cidre-ecusson.com/nos-produits/), Ecusson Rosé Cidre  (https://www.cidre-ecusson.com/nos-produits/);https://www.groupe-eclor.com/;LinkedIn (https://www.linkedin.com/company/eclor/);Other alcoholic beverages;;3 AVENUE DE BELLE FONTAINE, CESSON SEVIGNE, 35510
Association «UKRKONDPROM»;;Ukraine;;;;Organizations, federations, institutions;;3A M. Zhytomyrska St., Kyiv, 01001
GS WORLD FOODS;Hall 5A - F103;Spain;;;;Delicatessen, Ready to Eat;;Calle monte San Isidro, nº13., Carbajal de la Legua, Sariegos, 24196, CASTILLA Y LEÓN
Fair Farms;;Cambodia;;;;Delicatessen, Ready to Eat;;#188, 1st Floor, Arata Park Road, Phnom Penh, 120803
Shree Sai Industries Ltd;;Kenya;;;;Fruits and vegetables;;#10 Changamwe Road, Industrial Area, Nairobi,, n/a
TE IHI WELLNESS;;New Zealand;;;;Grocery products;;-, -, -, .
L.S.E.;;Egypt;;;;Confectionery, biscuits and pastry;;Galleria 40 ¿ East Tower, Office 201,, CAIRO, 12511
Kyrgyzcenterproduct LLC;;Kyrgyzstan;;;;Frozen products;;Ak-Suu Village, 14/1 Sholokhov Street, Bishkek, 720005
AAYLEX ONE;;Romania;;;;Meat and tripe;;Bd. Nicolae Caramfil nr. 71-73, Bucuresti, 014142, Sectorul 1
Royalnuts LLC;Hall 8 - E076;Georgia;;;;Horticulture;;10 Sairme Street, Zugdidi, 2100, Georgia
LARS DOO;;North Macedonia;;;;Fruits and vegetables;;Goce Delcev 34, Shtip, 2000
SICHUAN JUANCHENG SCM CO.,LTD;Hall 5B - J006;People's Republic of China;;;;Semi-finished food products and ingredients;;5-1 of No. 288, Quafu Road, Sichuan Cuisine Industrial Park, Ande town, Pidu District, Chengdu city, CHENGDU, 611732, SICHUAN
Pietrelli Fruit;Hall 8 - N022;Argentina;;;;Fruits and vegetables;;Spinelli 819, San Rafael, 5600
COMPANIA INDIILOR ORIENTALE PROD SRL;Hall 4 - L089;Romania;;;;Semi-finished food products and ingredients;;STR. CERNICA NR. 81, PANTELIMON, 077145, ILFOV
DALIAN SHENGSHENG FOOD CO., LTD.;Hall 6 - B083;People's Republic of China;;;;Frozen products;;DALIN VILLAGE, DAZHENG TOWN,, ZHUANGHE CITY, DALIAN, LIAONING, CHINA, DALIAN, 116419
Jima Nuts LLC;;Georgia;Chopped Hazelnuts kernels, Roasted Hazelnut Kernels., Blanched and Roasted Hazelnut Kernels, Hazelnut Flour., Hazelnuts in Shell., Premium natural hazelnut kernels, carefully processed and selected for the food, confectionery and bakery industries.;https://www.jimanuts.com/;;Horticulture;;70 Tamar Mepe str, vil. Ingiri, Zugdidi, 2100
PAL GARDENS AGRICULTURAL CO.;;State of Palestine;;https://www.palgardens.com/;Facebook (https://www.facebook.com/PalestineGardens/), Instagram (https://www.instagram.com/palestinegardens/);Grocery products;;Road 90, Al 'Auja, JERICHO, 970
AVA STAR SRL;;Romania;;;;Meat and tripe;;Strada 1 Mai nr. 72, Pascani, 705200, Iasi
DROSED HOLDING S.A.;;Poland;;;;Poultry and game;;WARSZAWSKA 168/172, TOMASZOW MAZOWIECKI, 87-200
"Union ""Millers of Ukraine""";;Ukraine;;;;Organizations, federations, institutions;;79A Mezhyhirska St., Kyiv, 04080
